directorio,secuencia_encuesta,secuencia_p,orden,propension_12m,consumo_12m,consumo_12m_missing_original,precio_compra,log_precio_compra,cantidad_consumo,gasto_valor,sexo,sexo_label,edad,edad_cuadrado,d2_05,educacion_label,educacion_grupo,frecuencia_consumo,facil_marihuana,consumo_vida,consumo_30d,consumo_reciente,edad_inicio,tipo_sustancia,lugar_consumo,forma_conseguir,gasto_total,gasto_descripcion,riesgo_marihuana,riesgo_cocaina,riesgo_basuco,riesgo_extasis,riesgo_heroina,riesgo_lsd,riesgo_inhalantes,riesgo_anfetaminas,riesgo_tranquilizantes,facilidad_conseguir,facil_cocaina,facil_basuco,actitud_marihuana,actitud_cocaina,actitud_basuco,actitud_extasis,actitud_heroina,actitud_lsd,actitud_inhalantes,actitud_anfetaminas,actitud_tranquilizantes,actitud_drogas_general,actitud_legalizacion,actitud_regulacion,actitud_prevencion,actitud_sanciones,actitud_tratamiento,d2_01,d2_03,d2_04,d2_06,d2_07
267,1,1,1,0,,1,,,,,2,Mujer,52,2704,8,Postgrado,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,0,1.0,2.0
279,1,1,1,1,1.0,0,,,,,1,Hombre,25,625,4,Basica secundaria,Media,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,1.0,1.0
290,1,1,1,0,,1,,,,,1,Hombre,40,1600,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,1,1.0,1.0
305,1,1,1,0,,1,9000.0,9.104979856318357,3.0,3000.0,1,Hombre,21,441,7,Universitaria,Superior,1,,1.0,,,3,3.0,1.0,3.0,1.0,TRES MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0
308,1,1,1,0,,1,,,,,1,Hombre,44,1936,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0
318,6,1,6,0,,1,,,,,1,Hombre,37,1369,5,Media,Media,2,,,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
333,3,1,3,0,,1,,,1.0,,1,Hombre,16,256,4,Basica secundaria,Media,1,,1.0,,,2,1.0,2.0,,2.0,,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,,
367,2,1,2,0,,1,,,,,2,Mujer,64,4096,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,2.0
401,3,1,3,1,1.0,0,,,,,1,Hombre,21,441,5,Media,Media,2,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,0,1.0,1.0
402,1,1,1,0,,1,,,,,2,Mujer,37,1369,8,Postgrado,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,2.0
420,3,1,3,1,1.0,0,300000.0,12.611537753638338,60.0,2000.0,1,Hombre,28,784,5,Media,Media,1,,,1.0,,3,5.0,1.0,30.0,1.0,DOS MIL PESOS,,,1.0,,,,,,,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5,6,0,1.0,1.0
477,3,1,3,1,1.0,0,,,,,1,Hombre,37,1369,5,Media,Media,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
513,3,1,3,0,,1,,,,,1,Hombre,19,361,5,Media,Media,2,,1.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
522,2,1,2,1,1.0,0,,,,,2,Mujer,30,900,5,Media,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,2.0
535,1,1,1,1,1.0,0,17000.0,9.740968623038354,3.0,12000.0,2,Mujer,23,529,4,Basica secundaria,Media,1,,,,,3,4.0,1.0,3.0,1.0,DOCE MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,2.0
559,2,1,2,0,,1,120000.0,11.695247021764184,24.0,5000.0,2,Mujer,50,2500,5,Media,Media,1,,1.0,,,2,9.0,1.0,24.0,1.0,CINCO MIL PESOS,,,,,,,,,1.0,2.0,,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5,2,0,1.0,2.0
598,1,1,1,0,,1,,,,,1,Hombre,64,4096,3,Basica primaria,Baja,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
617,2,1,2,0,,1,20000.0,9.903487552536127,10.0,2000.0,1,Hombre,18,324,5,Media,Media,1,,1.0,,,3,2.0,1.0,10.0,1.0,DOS MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0
624,1,1,1,1,1.0,0,,,,,2,Mujer,37,1369,6,Tecnica/tecnologica,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,3,3.0,2.0
634,1,1,1,0,,1,,,,,1,Hombre,63,3969,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
645,1,1,1,0,,1,,,,,1,Hombre,35,1225,7,Universitaria,Superior,2,,,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,1.0,1.0
702,4,1,4,1,1.0,0,,,1.0,3000.0,1,Hombre,29,841,7,Universitaria,Superior,1,1.0,1.0,1.0,,3,2.0,2.0,,1.0,TRES MIL PESOS,,,,1.0,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0
720,3,1,3,0,,1,,,,,1,Hombre,22,484,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
721,1,1,1,0,,1,,,,,1,Hombre,47,2209,7,Universitaria,Superior,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0
760,2,1,2,0,,1,,,,,1,Hombre,35,1225,7,Universitaria,Superior,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,1,1.0,1.0
778,3,1,3,0,,1,200000.0,12.206072645530174,40.0,5000.0,1,Hombre,26,676,3,Basica primaria,Baja,1,,,,1.0,3,5.0,1.0,30.0,1.0,CINCO MIL PESOS,,,,,1.0,,,,,2.0,,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,6,0,1.0,1.0
819,3,1,3,1,1.0,0,,,,,1,Hombre,27,729,8,Postgrado,Superior,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
827,1,1,1,0,,1,,,,,1,Hombre,30,900,6,Tecnica/tecnologica,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,1.0,1.0
829,1,1,1,0,,1,,,,,1,Hombre,46,2116,5,Media,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,1.0
836,2,1,2,0,,1,,,,,1,Hombre,62,3844,5,Media,Media,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,3,1.0,1.0
837,1,1,1,0,,1,,,,,1,Hombre,48,2304,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,4,1.0,1.0
839,1,1,1,0,,1,,,,,1,Hombre,59,3481,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,1.0,1.0
843,3,1,3,0,,1,,,,,2,Mujer,48,2304,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,1.0,2.0
867,2,1,2,0,,1,,,,,1,Hombre,36,1296,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,2,1.0,1.0
972,3,1,3,1,1.0,0,,,,,1,Hombre,25,625,7,Universitaria,Superior,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
982,3,1,3,0,,1,,,,,2,Mujer,17,289,4,Basica secundaria,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,1,,
1014,1,1,1,0,,1,,,,,2,Mujer,32,1024,6,Tecnica/tecnologica,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,2.0
1023,1,1,1,0,,1,,,,,2,Mujer,32,1024,5,Media,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,4,1.0,2.0
1102,2,1,2,0,,1,,,,,2,Mujer,65,4225,1,Ninguno,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,2.0
1124,2,1,2,1,1.0,0,80000.0,11.289781913656018,2.0,2000.0,1,Hombre,38,1444,5,Media,Media,1,1.0,,,,3,5.0,1.0,29.0,1.0,DOS MIL PESOS,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9,2,3,1.0,1.0
1129,2,1,2,1,1.0,0,,,,,2,Mujer,58,3364,3,Basica primaria,Baja,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,3,1.0,2.0
1135,1,1,1,1,1.0,0,,,,,2,Mujer,30,900,5,Media,Media,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,2.0
1142,3,1,3,1,1.0,0,5000.0,8.517193191416238,4.0,1000.0,1,Hombre,21,441,5,Media,Media,1,,,,,3,4.0,1.0,5.0,1.0,MIL PESOS,,,,1.0,,,,,,2.0,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,9,6,0,1.0,1.0
1147,2,1,2,1,1.0,0,,,,,2,Mujer,23,529,4,Basica secundaria,Media,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,4,1.0,2.0
1181,1,1,1,0,,1,,,,,1,Hombre,65,4225,3,Basica primaria,Baja,2,,1.0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,1.0,1.0
1188,3,1,3,1,1.0,0,,,,,1,Hombre,21,441,6,Tecnica/tecnologica,Superior,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
1189,3,1,3,0,,1,,,,,1,Hombre,38,1444,7,Universitaria,Superior,2,,,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
1197,2,1,2,1,1.0,0,,,,,2,Mujer,27,729,7,Universitaria,Superior,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1.0,2.0
1198,1,1,1,0,,1,,,,,1,Hombre,49,2401,8,Postgrado,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,1.0
1232,3,1,3,0,,1,,,1.0,,1,Hombre,20,400,6,Tecnica/tecnologica,Superior,1,,1.0,,,3,1.0,2.0,,2.0,,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0
1236,2,1,2,1,1.0,0,50000.0,10.819778284410283,3.0,2000.0,1,Hombre,26,676,4,Basica secundaria,Media,1,,1.0,1.0,,3,5.0,1.0,30.0,1.0,DOS MIL PESOS,,,1.0,1.0,1.0,,,,,2.0,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,9,6,0,1.0,1.0
1333,1,1,1,1,1.0,0,,,,,1,Hombre,31,961,5,Media,Media,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,1.0,1.0
1371,3,1,3,0,,1,,,6.0,3000.0,1,Hombre,24,576,6,Tecnica/tecnologica,Superior,1,,1.0,,,3,3.0,2.0,,1.0,TRES MIL PESOS,,,,1.0,,,1.0,,,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5,3,3,1.0,1.0
1431,1,1,1,0,,1,,,,,1,Hombre,57,3249,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,1.0
1446,2,1,2,1,1.0,0,,,,,2,Mujer,38,1444,3,Basica primaria,Baja,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2,1.0,2.0
1455,1,1,1,1,1.0,0,40000.0,10.596634733096073,40.0,1000.0,1,Hombre,23,529,3,Basica primaria,Baja,1,,1.0,,,1,5.0,1.0,30.0,1.0,MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,2,1,1.0,1.0
1461,1,1,1,0,,1,,,,,1,Hombre,62,3844,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,7,1.0,1.0
1491,1,1,1,0,,1,,,,,1,Hombre,29,841,4,Basica secundaria,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,1.0,1.0
1503,2,1,2,1,1.0,0,2000.0,7.600902459542082,2.0,2000.0,1,Hombre,24,576,5,Media,Media,1,1.0,1.0,1.0,,3,3.0,1.0,1.0,1.0,DOS MIL PESOS,,,,,,,,,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0
1535,3,1,3,1,1.0,0,30000.0,10.308952660644293,150.0,1000.0,1,Hombre,34,1156,5,Media,Media,1,,1.0,1.0,,9,5.0,1.0,30.0,1.0,MIL PESOS,,,1.0,,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5,5,1,1.0,1.0
1537,4,1,4,0,,1,,,,,1,Hombre,62,3844,4,Basica secundaria,Media,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,1,1.0,1.0
1544,3,1,3,0,,1,,,,,1,Hombre,45,2025,5,Media,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,1.0,1.0
1568,2,1,2,1,1.0,0,,,,,1,Hombre,55,3025,3,Basica primaria,Baja,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,0,1.0,1.0
1578,1,1,1,1,1.0,0,,,,,1,Hombre,18,324,5,Media,Media,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,1,1.0,1.0
1596,1,1,1,0,,1,,,,,1,Hombre,44,1936,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,1.0,1.0
1736,1,1,1,0,,1,,,,,1,Hombre,19,361,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,1.0
1742,7,1,7,1,1.0,0,,,150.0,1000.0,1,Hombre,17,289,5,Media,Media,1,1.0,1.0,1.0,,3,5.0,2.0,,1.0,MIL PESOS,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,6,0,,
1747,2,1,2,0,,1,,,,,2,Mujer,37,1369,4,Basica secundaria,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,2.0
1765,4,1,4,0,,1,,,,,2,Mujer,23,529,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,2.0
1779,2,1,2,0,,1,1000.0,6.907755278982137,2.0,1000.0,1,Hombre,14,196,3,Basica primaria,Baja,1,,1.0,,,2,2.0,1.0,2.0,1.0,MIL PESOS,,,,,,,1.0,,,2.0,,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,9,6,0,,
1794,2,1,2,1,1.0,0,20000.0,9.903487552536127,3.0,2000.0,1,Hombre,27,729,6,Tecnica/tecnologica,Superior,1,,,,,3,3.0,1.0,3.0,1.0,DOS MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5,1,2,1.0,1.0
1811,1,1,1,0,,1,,,,,1,Hombre,59,3481,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0
1814,1,1,1,1,1.0,0,,,,,2,Mujer,31,961,8,Postgrado,Superior,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,2.0
1815,1,1,1,0,,1,,,,,1,Hombre,64,4096,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,1.0,1.0
1825,4,1,4,1,1.0,0,2000.0,7.600902459542082,1.0,2000.0,1,Hombre,31,961,4,Basica secundaria,Media,1,,,,,3,4.0,1.0,4.0,1.0,DOS MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0
1829,1,1,1,0,,1,,,,,1,Hombre,56,3136,8,Postgrado,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,0,1.0,1.0
1830,3,1,3,1,1.0,0,,,,,1,Hombre,48,2304,6,Tecnica/tecnologica,Superior,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,1.0,1.0
1832,1,1,1,0,,1,,,,,1,Hombre,51,2601,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,0,1.0,1.0
1839,2,1,2,0,,1,,,,,2,Mujer,47,2209,7,Universitaria,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,2.0
1859,4,1,4,1,1.0,0,3000.0,8.006367567650246,4.0,1000.0,1,Hombre,18,324,5,Media,Media,1,,,,,3,4.0,1.0,5.0,1.0,MIL PESOS,,,1.0,,,1.0,,,,2.0,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,9,6,0,1.0,1.0
1890,1,1,1,1,1.0,0,,,,,1,Hombre,39,1521,5,Media,Media,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,1.0,1.0
1953,2,1,2,1,1.0,0,,,3.0,3000.0,1,Hombre,15,225,4,Basica secundaria,Media,1,,,,,3,3.0,2.0,,1.0,TRES MIL PESOS,,,,1.0,,,,,,2.0,,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,9,6,0,,
1955,3,1,3,0,,1,,,,,1,Hombre,36,1296,5,Media,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,1,1.0,1.0
1958,1,1,1,0,,1,,,,,1,Hombre,33,1089,3,Basica primaria,Baja,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,1.0,1.0
1963,3,1,3,1,1.0,0,,,,,2,Mujer,20,400,6,Tecnica/tecnologica,Superior,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,1.0,2.0
1999,3,1,3,0,,1,,,,,2,Mujer,19,361,6,Tecnica/tecnologica,Superior,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,2.0,2.0
2014,1,1,1,0,,1,,,,,1,Hombre,62,3844,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,1.0,1.0
2070,2,1,2,0,,1,,,,,2,Mujer,56,3136,5,Media,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,5,1.0,2.0
2081,1,1,1,1,1.0,0,90000.0,11.407564949312402,30.0,3000.0,2,Mujer,20,400,6,Tecnica/tecnologica,Superior,1,1.0,1.0,,,1,5.0,1.0,30.0,1.0,TRES MIL,,,1.0,,,,,,,1.0,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9,6,0,2.0,2.0
2098,7,1,7,1,1.0,0,,,5.0,6000.0,1,Hombre,19,361,4,Basica secundaria,Media,1,,,,,2,4.0,2.0,,1.0,SEIS MIL PESOS,,,1.0,,,,,,,2.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9,1,0,1.0,1.0
2119,1,1,1,0,,1,,,,,1,Hombre,38,1444,5,Media,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,1.0,1.0
2121,8,1,8,1,1.0,0,80000.0,11.289781913656018,12.0,6000.0,1,Hombre,21,441,5,Media,Media,1,,,,,3,2.0,1.0,30.0,1.0,seis mil pesos,,,1.0,,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,9,1,0,1.0,1.0
2150,2,1,2,0,,1,,,,,1,Hombre,39,1521,3,Basica primaria,Baja,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,1.0,1.0
2151,1,1,1,0,,1,,,,,1,Hombre,25,625,4,Basica secundaria,Media,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0
2170,1,1,1,1,1.0,0,,,,,1,Hombre,58,3364,5,Media,Media,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,1.0,1.0
2173,2,1,2,0,,1,,,,,2,Mujer,29,841,5,Media,Media,2,,,,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,2,1.0,2.0
2179,1,1,1,0,,1,,,4.0,,2,Mujer,21,441,5,Media,Media,1,1.0,1.0,,,1,9.0,9.0,,2.0,,,,,1.0,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,6,0,1.0,2.0
